"","RMSD","low_ci","high_ci","sd","cond","sid","sidc"
"SID#16",45.5674340912021,41.3338581611254,49.334364026263,2.45060243743878,"low",16,"SID#16"
"SID#50",50.8940746041201,46.449989951785,55.0463880415698,2.62027141079642,"low",50,"SID#50"
"SID#51",47.8738884707656,39.4820346605671,55.5093508879195,4.87095998245171,"low",51,"SID#51"
"SID#19",59.9397843750324,54.080459912211,65.8285349403771,3.71720033248257,"low",19,"SID#19"
"SID#20",59.4652724574617,52.6247972819922,65.9274185851401,4.11867470937284,"low",20,"SID#20"
"SID#21",57.4692419247043,51.8553471380843,62.9412448753607,3.43966517733153,"low",21,"SID#21"
"SID#22",50.5062286809436,44.9503909129729,56.4343524925362,3.61266539589911,"low",22,"SID#22"
"SID#23",49.0022054044109,42.134383847271,55.9094379061039,4.18140132130004,"low",23,"SID#23"
"SID#24",61.3951681843362,54.3734826844983,68.1777045499804,4.06790879580486,"low",24,"SID#24"
"SID#25",40.1438577924716,33.4040021156908,46.8971932710553,4.02704743229625,"low",25,"SID#25"
"SID#26",35.7788276638047,30.0154304021817,41.0950214471534,3.23461170481992,"low",26,"SID#26"
"SID#27",46.8318736215046,39.4305545484143,54.1550429830923,4.531204354754,"low",27,"SID#27"
"SID#28",46.8318736215046,39.4305545484143,54.1550429830923,4.531204354754,"low",28,"SID#28"
"SID#29",54.7247523096601,47.6841669756566,61.6891398426969,4.31470208359165,"low",29,"SID#29"
"SID#30",54.9008448369715,47.8670006593881,62.0665823068966,4.32520151201077,"low",30,"SID#30"
"SID#32",71.5973336890404,65.5460692439364,77.4268818680719,3.61430760744027,"low",32,"SID#32"
"SID#33",49.1819176285712,42.767851508593,55.2368818684759,3.74347151226358,"low",33,"SID#33"
"SID#41",44.5844642447493,41.0492565499037,47.9195432838744,2.05326185226347,"low",41,"SID#41"
"SID#34",53.184654633354,44.8779530047866,61.0116284428286,4.94877327653415,"low",34,"SID#34"
"SID#35",42.0073948670817,36.6069352716031,47.6703795824948,3.24950654197688,"low",35,"SID#35"
"SID#36",38.1212850154343,32.6721464683252,43.1978231288613,3.2544798266291,"low",36,"SID#36"
