"","RMSD","low_ci","high_ci","sd","cond","sid","sidc","ord"
"SID#1",43.3266581022887,35.0850319532582,51.4315024463771,5.06232444018389,"high",1,"SID#1",4
"SID#2",38.8657857621725,32.8687645493823,44.8586886823101,3.62609585508426,"high",2,"SID#2",3
"SID#3",45.7756921668715,39.9600237134632,51.1962882399073,3.44093309834533,"high",3,"SID#3",8
"SID#4",48.184294389473,40.1774592578869,56.2561306589297,4.98839669933405,"high",4,"SID#4",9
"SID#5",38.6150405943458,31.3010835729248,45.9867841202828,4.51132037394667,"high",5,"SID#5",2
"SID#6",50.7744166851491,42.7165541100856,59.0288240411299,5.07254701041653,"high",6,"SID#6",12
"SID#7",67.147103735484,60.1597138552036,73.9556239268708,4.2772115669755,"high",7,"SID#7",17
"SID#8",36.6474442303359,31.576545048207,41.9870848609576,3.25346702685888,"high",8,"SID#8",1
"SID#9",50.565805414881,43.6894789981853,57.0140075564103,4.12067345866715,"high",9,"SID#9",11
"SID#10",63.8353059556417,54.3054532381914,73.2182809419253,5.70506711197402,"high",10,"SID#10",15
"SID#11",44.0458857144105,38.3240689428798,50.2977798642885,3.64271572782007,"high",11,"SID#11",6
"SID#12",45.3514755043968,35.6607567640153,54.0974681904799,5.72540081518114,"high",12,"SID#12",7
"SID#13",68.7724208911843,60.1162210655687,77.7923241372619,5.44611551067766,"high",13,"SID#13",18
"SID#14",60.1501175316539,51.5426435663205,68.3556732287807,5.26529759812512,"high",14,"SID#14",14
"SID#16",77.5903192263216,69.74836655316,85.0880345841129,4.73761604986062,"high",16,"SID#16",19
"SID#18",52.1378889744027,42.2758100477305,60.9288559208336,5.58455107413605,"high",18,"SID#18",13
"SID#19",49.2372920135777,40.9510967362945,57.7904686940912,5.19185918028363,"high",19,"SID#19",10
"SID#20",43.9740566914181,36.3643867741777,52.2316089992926,4.73581280094353,"high",20,"SID#20",5
"SID#15",64.3483026916442,57.0887224637669,71.1528585432681,4.2643101120275,"high",15,"SID#15",16
