"coefficient.sd<0.5" "   p.value"
"" "Min.   :-0.11220  " "Min.   :0.003966  "
"" "1st Qu.:-0.01492  " "1st Qu.:0.254783  "
"" "Median : 0.01372  " "Median :0.506994  "
"" "Mean   : 0.01287  " "Mean   :0.499432  "
"" "3rd Qu.: 0.03854  " "3rd Qu.:0.790280  "
"" "Max.   : 0.15867  " "Max.   :0.980413  "
