"AUC.0.1.n=357.sd<0.5" " sensitivity" " specificity"
"" "Min.   :0.4663  " "Min.   :0.4881  " "Min.   :0.000000  "
"" "1st Qu.:0.5358  " "1st Qu.:0.9044  " "1st Qu.:0.003906  "
"" "Median :0.5524  " "Median :0.9880  " "Median :0.039062  "
"" "Mean   :0.5827  " "Mean   :0.9232  " "Mean   :0.134790  "
"" "3rd Qu.:0.6586  " "3rd Qu.:0.9991  " "3rd Qu.:0.167969  "
"" "Max.   :0.7227  " "Max.   :1.0000  " "Max.   :0.703125  "
