"spearman.coefficient.n=357" "   p.value"
"" "Min.   :-0.04979  " "Min.   :0.0000000  "
"" "1st Qu.: 0.07300  " "1st Qu.:0.0009262  "
"" "Median : 0.10110  " "Median :0.0563594  "
"" "Mean   : 0.13758  " "Mean   :0.1092955  "
"" "3rd Qu.: 0.22903  " "3rd Qu.:0.1687657  "
"" "Max.   : 0.31904  " "Max.   :0.3989853  "
