"AUC.0.1.n=357.sd<0.5" "sensitivity" "specificity"
"Group_1-prediction_file_nocomments-1" 0.534796 0.989761092150171 0.015625
"Group_1-prediction_file_nocomments-2" 0.538743 0.986348122866894 0.015625
"Group_1-prediction_file_nocomments-3" 0.524584 0.993174061433447 0.015625
"Group_2-prediction_file_nocomments-1" 0.552874 1 0
"Group_2-prediction_file_nocomments-2" 0.549648 1 0
"Group_3-prediction_file_nocomments-1" 0.540262 0.904436860068259 0.171875
"Group_3-prediction_file_nocomments-2" 0.567379 0.904436860068259 0.203125
"Group_3-prediction_file_nocomments-3" 0.502506 0.904436860068259 0.15625
"Group_4-prediction_file_nocomments-1" 0.515252 0.986348122866894 0.03125
"Group_4-prediction_file_nocomments-2" 0.46627 0.996587030716723 0
"Group_4-prediction_file_nocomments-3" 0.529677 0.972696245733788 0.046875
"Group_5-prediction_file_nocomments-1" 0.551879 0.965635738831615 0.0645161290322581
"Group_5-prediction_file_nocomments-2" 0.550299 0.989690721649485 0.0806451612903226
"Group_6-prediction_file_nocomments-1" 0.693313 0.488054607508532 0.703125
"Group_6-prediction_file_nocomments-2" 0.715577 0.972696245733788 0.15625
"Group_6-prediction_file_nocomments-3" 0.72267 1 0.09375
"Group_6-prediction_file_nocomments-4" 0.692619 1 0
"Group_6-prediction_file_nocomments-5" 0.690113 1 0
"Group_6-prediction_file_nocomments-6" 0.688967 0.744027303754266 0.515625
"Group_6-prediction_file_nocomments-7" 0.703365 0.733788395904437 0.5625
"Group_7-prediction_file_nocomments-1" 0.531997 1 0
"Group_7-prediction_file_nocomments-2" 0.545062 1 0.015625
"Group_7-prediction_file_nocomments-3" 0.556687 0.744027303754266 0.296875
"Group_7-prediction_file_nocomments-4" 0.553008 0.996587030716723 0
"Group_7-prediction_file_nocomments-5" 0.567433 0.989761092150171 0.015625
"Group_7-prediction_file_nocomments-6" 0.564846 0.74061433447099 0.34375
