"","AUC","low_ci","high_ci","sd","cond","sid","sidc"
"SID#16",0.845208093,0.7665761,0.91237645,0.0450708866641099,"low",16,"SID#16"
"SID#50",0.835887327,0.75774495,0.9046886,0.0458750461872984,"low",50,"SID#50"
"SID#51",0.758209311,0.676576,0.840174,0.0518604783975225,"low",51,"SID#51"
"SID#19",0.585156954,0.4799018,0.6804715,0.0622247987830212,"low",19,"SID#19"
"SID#20",0.579536004,0.4810573,0.6786438,0.0602405836814208,"low",20,"SID#20"
"SID#21",0.66024644,0.56307315,0.7584477,0.0608383329486794,"low",21,"SID#21"
"SID#22",0.555739504,0.45224885,0.6646985,0.063882308720423,"low",22,"SID#22"
"SID#23",0.63678442,0.5420031,0.7221692,0.0557903151256508,"low",23,"SID#23"
"SID#24",0.52281785,0.41544455,0.62435415,0.0624326441516878,"low",24,"SID#24"
"SID#25",0.738690796,0.63502165,0.83043675,0.0606604760281713,"low",25,"SID#25"
"SID#26",0.839464466,0.75680115,0.91271095,0.0468504544806973,"low",26,"SID#26"
"SID#27",0.668963948,0.5798675,0.7523609,0.0524319400509155,"low",27,"SID#27"
"SID#28",0.668963948,0.5798675,0.7523609,0.0524319400509155,"low",28,"SID#28"
"SID#29",0.705471366,0.6181848,0.7921722,0.0522087155190222,"low",29,"SID#29"
"SID#30",0.66444331,0.573754,0.7520089,0.0540379384815079,"low",30,"SID#30"
"SID#32",0.50030849,0.4066911,0.59325905,0.0583591787260022,"low",32,"SID#32"
"SID#33",0.573068135,0.47499745,0.6654504,0.0590097100580397,"low",33,"SID#33"
"SID#41",0.611071592,0.50062605,0.71550305,0.0682243721838862,"low",41,"SID#41"
"SID#34",0.731166647,0.6373398,0.81971885,0.0555540769795831,"low",34,"SID#34"
"SID#35",0.704879013,0.61803555,0.7916889,0.052979363895687,"low",35,"SID#35"
"SID#36",0.731070754,0.6398181,0.80999945,0.0527772657050817,"low",36,"SID#36"
